x	y	showSelected1	group
-1.9683	1.2288	33	-1
-1.77147	0.98304	33	-1
-1.594323	0.786432	33	-1
-1.4348907	0.6291456	33	-1
-1.29140163	0.50331648	33	-1
-1.162261467	0.402653184	33	-1
-1.0460353203	0.3221225472	33	-1
-0.94143178827	0.25769803776	33	-1
-0.847288609443	0.206158430208	33	-1
-0.7625597484987	0.1649267441664	33	-1
-0.68630377364883	0.13194139533312	33	-1
-0.617673396283947	0.105553116266496	33	-1
-0.555906056655552	0.0844424930131968	33	-1
-0.500315450989997	0.0675539944105575	33	-1
-0.450283905890997	0.054043195528446	33	-1
-0.405255515301898	0.0432345564227568	33	-1
-0.364729963771708	0.0345876451382054	33	-1
-0.328256967394537	0.0276701161105643	33	-1
-0.295431270655083	0.0221360928884515	33	-1
-0.265888143589575	0.0177088743107612	33	-1
-0.239299329230618	0.0141670994486089	33	-1
-0.215369396307556	0.0113336795588872	33	-1
-0.1938324566768	0.00906694364710972	33	-1
-0.17444921100912	0.00725355491768778	33	-1
-0.157004289908208	0.00580284393415022	33	-1
-0.141303860917387	0.00464227514732018	33	-1
-0.127173474825649	0.00371382011785614	33	-1
-0.114456127343084	0.00297105609428491	33	-1
-0.103010514608775	0.00237684487542793	33	-1
-3	3	34	-1
-2.7	2.4	34	-1
-2.43	1.92	34	-1
-2.187	1.536	34	-1
-1.9683	1.2288	34	-1
-1.77147	0.98304	34	-1
-1.594323	0.786432	34	-1
-1.4348907	0.6291456	34	-1
-1.29140163	0.50331648	34	-1
-1.162261467	0.402653184	34	-1
-1.0460353203	0.3221225472	34	-1
-0.94143178827	0.25769803776	34	-1
-0.847288609443	0.206158430208	34	-1
-0.7625597484987	0.1649267441664	34	-1
-0.68630377364883	0.13194139533312	34	-1
-0.617673396283947	0.105553116266496	34	-1
-0.555906056655552	0.0844424930131968	34	-1
-0.500315450989997	0.0675539944105575	34	-1
-0.450283905890997	0.054043195528446	34	-1
-0.405255515301898	0.0432345564227568	34	-1
-0.364729963771708	0.0345876451382054	34	-1
-0.328256967394537	0.0276701161105643	34	-1
-0.295431270655083	0.0221360928884515	34	-1
-0.265888143589575	0.0177088743107612	34	-1
-0.239299329230618	0.0141670994486089	34	-1
-0.215369396307556	0.0113336795588872	34	-1
-0.1938324566768	0.00906694364710972	34	-1
-0.17444921100912	0.00725355491768778	34	-1
-0.157004289908208	0.00580284393415022	34	-1
-0.141303860917387	0.00464227514732018	34	-1
-0.127173474825649	0.00371382011785614	34	-1
-0.114456127343084	0.00297105609428491	34	-1
-0.103010514608775	0.00237684487542793	34	-1
-0.0927094631478979	0.00190147590034235	34	-1
-3	3	35	-1
-2.7	2.4	35	-1
-2.43	1.92	35	-1
-2.187	1.536	35	-1
-1.9683	1.2288	35	-1
-1.77147	0.98304	35	-1
-1.594323	0.786432	35	-1
-1.4348907	0.6291456	35	-1
-1.29140163	0.50331648	35	-1
-1.162261467	0.402653184	35	-1
-1.0460353203	0.3221225472	35	-1
-0.94143178827	0.25769803776	35	-1
-0.847288609443	0.206158430208	35	-1
-0.7625597484987	0.1649267441664	35	-1
-0.68630377364883	0.13194139533312	35	-1
-0.617673396283947	0.105553116266496	35	-1
-0.555906056655552	0.0844424930131968	35	-1
-0.500315450989997	0.0675539944105575	35	-1
-0.450283905890997	0.054043195528446	35	-1
-0.405255515301898	0.0432345564227568	35	-1
-0.364729963771708	0.0345876451382054	35	-1
-0.328256967394537	0.0276701161105643	35	-1
-0.295431270655083	0.0221360928884515	35	-1
-0.265888143589575	0.0177088743107612	35	-1
-0.239299329230618	0.0141670994486089	35	-1
-0.215369396307556	0.0113336795588872	35	-1
-0.1938324566768	0.00906694364710972	35	-1
-0.17444921100912	0.00725355491768778	35	-1
-0.157004289908208	0.00580284393415022	35	-1
-0.141303860917387	0.00464227514732018	35	-1
-0.127173474825649	0.00371382011785614	35	-1
-0.114456127343084	0.00297105609428491	35	-1
-0.103010514608775	0.00237684487542793	35	-1
-0.0927094631478979	0.00190147590034235	35	-1
-0.0834385168331081	0.00152118072027388	35	-1
-3	3	36	-1
-2.7	2.4	36	-1
-2.43	1.92	36	-1
-2.187	1.536	36	-1
-1.9683	1.2288	36	-1
-1.77147	0.98304	36	-1
-1.594323	0.786432	36	-1
-1.4348907	0.6291456	36	-1
-1.29140163	0.50331648	36	-1
-1.162261467	0.402653184	36	-1
-1.0460353203	0.3221225472	36	-1
-0.94143178827	0.25769803776	36	-1
-0.847288609443	0.206158430208	36	-1
-0.7625597484987	0.1649267441664	36	-1
-0.68630377364883	0.13194139533312	36	-1
-0.617673396283947	0.105553116266496	36	-1
-0.555906056655552	0.0844424930131968	36	-1
-0.500315450989997	0.0675539944105575	36	-1
-0.450283905890997	0.054043195528446	36	-1
-0.405255515301898	0.0432345564227568	36	-1
-0.364729963771708	0.0345876451382054	36	-1
-0.328256967394537	0.0276701161105643	36	-1
-0.295431270655083	0.0221360928884515	36	-1
-0.265888143589575	0.0177088743107612	36	-1
-0.239299329230618	0.0141670994486089	36	-1
-0.215369396307556	0.0113336795588872	36	-1
-0.1938324566768	0.00906694364710972	36	-1
-0.17444921100912	0.00725355491768778	36	-1
-0.157004289908208	0.00580284393415022	36	-1
-0.141303860917387	0.00464227514732018	36	-1
-0.127173474825649	0.00371382011785614	36	-1
-0.114456127343084	0.00297105609428491	36	-1
-0.103010514608775	0.00237684487542793	36	-1
-0.0927094631478979	0.00190147590034235	36	-1
-0.0834385168331081	0.00152118072027388	36	-1
-0.0750946651497973	0.0012169445762191	36	-1
-3	3	37	-1
-2.7	2.4	37	-1
-2.43	1.92	37	-1
-2.187	1.536	37	-1
-1.9683	1.2288	37	-1
-1.77147	0.98304	37	-1
-1.594323	0.786432	37	-1
-1.4348907	0.6291456	37	-1
-1.29140163	0.50331648	37	-1
-1.162261467	0.402653184	37	-1
-1.0460353203	0.3221225472	37	-1
-0.94143178827	0.25769803776	37	-1
-0.847288609443	0.206158430208	37	-1
-0.7625597484987	0.1649267441664	37	-1
-0.68630377364883	0.13194139533312	37	-1
-0.617673396283947	0.105553116266496	37	-1
-0.555906056655552	0.0844424930131968	37	-1
-0.500315450989997	0.0675539944105575	37	-1
-0.450283905890997	0.054043195528446	37	-1
-0.405255515301898	0.0432345564227568	37	-1
-0.364729963771708	0.0345876451382054	37	-1
-0.328256967394537	0.0276701161105643	37	-1
-0.295431270655083	0.0221360928884515	37	-1
-0.265888143589575	0.0177088743107612	37	-1
-0.239299329230618	0.0141670994486089	37	-1
-0.215369396307556	0.0113336795588872	37	-1
-0.1938324566768	0.00906694364710972	37	-1
-0.17444921100912	0.00725355491768778	37	-1
-0.157004289908208	0.00580284393415022	37	-1
-0.141303860917387	0.00464227514732018	37	-1
-0.127173474825649	0.00371382011785614	37	-1
-0.114456127343084	0.00297105609428491	37	-1
-0.103010514608775	0.00237684487542793	37	-1
-0.0927094631478979	0.00190147590034235	37	-1
-0.0834385168331081	0.00152118072027388	37	-1
-0.0750946651497973	0.0012169445762191	37	-1
-0.0675851986348175	0.000973555660975281	37	-1
